Title;State;VlogLink;Published
"Interview de Caroline Gagnon : Herboristerie, notre droit à tous !";"https://www.youtube.com/watch?v=tK7GC0ty57Q";"il y a 2 ans";
"Interview de Guillaume Bouguet : connaître les plantes aromatiques sauvages";"https://www.youtube.com/watch?v=mUPYGIeHQhI";"il y a 1 an";
"Interview de Richard Arnoldi : Ethnobotanique et Traditions des peuples";"https://www.youtube.com/watch?v=d2mnRobxTCs";"il y a 1 an";
"Interview de Thomas Echantillac : cueillir les plantes sauvages";"https://www.youtube.com/watch?v=Ij84vHk2Cl4";"il y a 1 an";
"Introduction au jardin des médicinales";"https://www.youtube.com/watch?v=Ec0snPKA9Yk";"il y a 5 ans";
"Jardin de plantes médicinales : 6 erreurs fondamentales";"https://www.youtube.com/watch?v=V-rMH-TjkuI";"il y a 11 mois";
"Jardin médicinal : se faire plaisir sans se cramer";"https://www.youtube.com/watch?v=x9ctKm2VhbA";"il y a 1 an";
"Jiaogulan (Gynostemma pentaphyllum)";"https://www.youtube.com/watch?v=p_-zv43anog";"il y a 4 ans";
"L'ail";"https://www.youtube.com/watch?v=P6Y6XTICp6o";"il y a 4 ans";
"L'échinacée au jardin";"https://www.youtube.com/watch?v=vxkYwdoEIMw";"il y a 5 ans";
"La bardane : détox, eczéma, psoriasis, rhumatismes et plus !";"https://www.youtube.com/watch?v=6QnBiocRG3c";"il y a 4 ans";
"La cannelle : perte de poids, état grippal, règles douloureuses, glycémie élevée";"https://www.youtube.com/watch?v=EoJqKyeIrEU";"il y a 3 ans";
"La cardamome : digestions difficiles, nausées, mauvaise haleine";"https://www.youtube.com/watch?v=RSuZdVtnVzg";"il y a 3 ans";
"La consoude";"https://www.youtube.com/watch?v=JYow8sXGzP0";"il y a 4 ans";
"La feuille d'olivier";"https://www.youtube.com/watch?v=H3Mo2I2NHtU";"il y a 4 ans";
"La feuille de noisetier pour la mauvaise circulation";"https://www.youtube.com/watch?v=1yg-UCbCk9U";"il y a 4 ans";
"La fumeterre (Fumaria officinalis)";"https://www.youtube.com/watch?v=6DNmgi5nY3w";"il y a 4 ans";
"La maca";"https://www.youtube.com/watch?v=es6VF_Soo3Q";"il y a 4 ans";
"La manne de frêne";"https://www.youtube.com/watch?v=_yy6SlHW0xw";"il y a 4 ans";
"La mauve";"https://www.youtube.com/watch?v=M-SlmiWS7sA";"il y a 4 ans";
"La mélisse";"https://www.youtube.com/watch?v=LTw2V2Zv_E0";"il y a 4 ans";
"La pariétaire";"https://www.youtube.com/watch?v=SpM3c1HryNw";"il y a 4 ans";
"La partenelle ou grande camomille (Tanacetum parthenium)";"https://www.youtube.com/watch?v=qwm_PTlyscs";"il y a 6 ans";
"La sauge";"https://www.youtube.com/watch?v=k4SG-HQo47U";"il y a 4 ans";
"La vipérine (Echium vulgare)";"https://www.youtube.com/watch?v=dOkPggCRiYg";"il y a 6 ans";
"Laurier noble (Laurus nobilis) : digestion, bronchites, douleurs articulaires";"https://www.youtube.com/watch?v=RShkHmkvhDA";"il y a 1 an";
"Lavande (Lavandula angustifolia) : calmante et tonifiante";"https://www.youtube.com/watch?v=xWSb0Sl_rNI";"il y a 3 ans";
"Le Coquelicot";"https://www.youtube.com/watch?v=AfmHxoqE3_g";"il y a 4 ans";
"Le bleuet (Centaurea cyanus) : fatigue des yeux, conjonctivite";"https://www.youtube.com/watch?v=1pWa38i71Qs";"il y a 3 ans";
"Le bouleau (Betula pendula), feuilles, écorce, sève : douleurs articulaires, problèmes de peau...";"https://www.youtube.com/watch?v=FQQRREvbnFg";"il y a 3 ans";
"Le buis (Buxus sempervirens) : propriétés et toxicité";"https://www.youtube.com/watch?v=z6U8LIrLU50";"il y a 1 an";
"Le calament (Clinopodium nepeta) : indigestions, rhumes et froids, stimulant intellectuel";"https://www.youtube.com/watch?v=bNmMI4768dM";"il y a 3 ans";
"Le cassis (Ribes nigrum) et ses bienfaits pour notre santé";"https://www.youtube.com/watch?v=UG3b9M-nTFw";"il y a 1 an";
"Le chiendent";"https://www.youtube.com/watch?v=M0poZFQmnYQ";"il y a 4 ans";
"Le chêne (Quercus spp.), feuilles et écorce : fortes diarrhées, angines, problèmes de gencives.";"https://www.youtube.com/watch?v=0FEcUE_onas";"il y a 3 ans";
"Le cordyceps: faut-il utiliser ce champignon adaptogène?";"https://www.youtube.com/watch?v=cHk7i86eduQ";"il y a 2 ans";
"Le curcuma ne fonctionne pas. Vraiment ?";"https://www.youtube.com/watch?v=470TPwOrPB8";"il y a 2 ans";
"Le fenouil (Foeniculum vulgare) : nutrition, digestion, allaitement";"https://www.youtube.com/watch?v=AtSNk2Xe8QA";"il y a 3 ans";
"Le lapacho : propriétés anti-cancer et anti-candida albicans";"https://www.youtube.com/watch?v=dhX6gTAOoFo";"il y a 3 ans";
"Le livre des bonnes herbes";"https://www.youtube.com/watch?v=tyGdYLengJs";"il y a 4 ans";
"Le marrube (Marrubium vulgare) : dépuratif, indigestions, bronchites, palpitations";"https://www.youtube.com/watch?v=u__R55jFXAI";"il y a 3 ans";
"Le persil (Petroselinum crispum) : nutrition, digestion, règles douloureuses et dépuratif";"https://www.youtube.com/watch?v=g2AjSXiVjP4";"il y a 3 ans";
